,rank,Company,Symbol,Weight,Price,Chg,% Chg
308,309,International Paper Company,IP,0.066256,43.8,1.15,(2.70%)
309,310,Martin Marietta Materials Inc.,MLM,0.065721,265.89,-0.97,(-0.36%)
310,311,Nucor Corporation,NUE,0.065472,53.52,-0.84,(-1.55%)
311,312,Laboratory Corporation of America Holdings,LH,0.064236,165.25,-1.03,(-0.62%)
312,313,Regions Financial Corporation,RF,0.064198,16.03,-0.24,(-1.47%)
313,314,Equifax Inc.,EFX,0.064162,135.95,0.94,(0.70%)
314,315,Maxim Integrated Products Inc.,MXIM,0.063382,57.42,-1.45,(-2.46%)
315,316,Kellogg Company,K,0.062855,63.37,-0.51,(-0.80%)
316,317,Citizens Financial Group Inc.,CFG,0.062783,35.08,-0.42,(-1.18%)
317,318,CarMax Inc.,KMX,0.062263,93.25,-1.52,(-1.60%)
318,319,Skyworks Solutions Inc.,SWKS,0.06209,90.14,-0.83,(-0.91%)
319,320,Mid-America Apartment Communities Inc.,MAA,0.06134,138.76,2.0,(1.46%)
320,321,Amcor PLC,AMCR,0.061332,9.58,0.02,(0.16%)
321,322,Teleflex Incorporated,TFX,0.06017,344.98,15.14,(4.59%)
322,323,Celanese Corporation,CE,0.059842,120.57,-1.71,(-1.40%)
323,324,Dover Corporation,DOV,0.059689,103.28,-0.66,(-0.63%)
324,325,WellCare Health Plans Inc.,WCG,0.059531,296.7,-2.68,(-0.90%)
325,326,Xylem Inc.,XYL,0.059426,77.86,-6.2,(-7.37%)
326,327,Genuine Parts Company,GPC,0.059312,102.0,-1.19,(-1.15%)
327,328,Evergy Inc.,EVRG,0.05931,63.54,-0.15,(-0.23%)
328,329,MGM Resorts International,MGM,0.059049,28.66,0.03,(0.10%)
329,330,Cardinal Health Inc.,CAH,0.058481,49.5,-0.67,(-1.33%)
330,331,Incyte Corporation,INCY,0.05844,83.94,0.28,(0.33%)
331,332,UDR Inc.,UDR,0.058333,50.24,-0.13,(-0.25%)
332,333,Huntington Bancshares Incorporated,HBAN,0.058301,14.04,-0.17,(-1.16%)
333,334,Freeport-McMoRan Inc.,FCX,0.058076,9.71,-0.42,(-4.15%)
334,335,CenterPoint Energy Inc.,CNP,0.057299,29.0,-0.08,(-0.28%)
335,336,Waters Corporation,WAT,0.056777,210.71,-4.29,(-2.00%)
336,337,Cooper Companies Inc.,COO,0.05663,289.11,-2.99,(-1.02%)
337,338,Kansas City Southern,KSU,0.056518,140.51,-2.05,(-1.44%)
338,339,Akamai Technologies Inc.,AKAM,0.056502,86.42,-0.97,(-1.11%)
339,340,Broadridge Financial Solutions Inc.,BR,0.056425,124.78,-0.08,(-0.06%)
340,341,Ulta Beauty Inc,ULTA,0.05592,231.98,-8.27,(-3.44%)
341,342,Baker Hughes Company Class A,BKR,0.055567,21.38,-0.24,(-1.11%)
342,343,Extra Space Storage Inc.,EXR,0.055561,111.52,0.67,(0.60%)
343,344,Principal Financial Group Inc.,PFG,0.055495,53.49,-0.83,(-1.53%)
344,345,Garmin Ltd.,GRMN,0.055061,93.08,-3.27,(-3.39%)
345,346,Darden Restaurants Inc.,DRI,0.054452,112.61,-0.38,(-0.34%)
346,347,Take-Two Interactive Software Inc.,TTWO,0.054437,121.09,-2.04,(-1.66%)
347,348,Diamondback Energy Inc.,FANG,0.054419,84.47,0.09,(0.10%)
348,349,W.W. Grainger Inc.,GWW,0.054239,309.52,-0.87,(-0.28%)
349,350,Seagate Technology PLC,STX,0.054175,57.28,-0.57,(-0.99%)
350,351,MarketAxess Holdings Inc.,MKTX,0.053494,363.03,3.88,(1.08%)
351,352,Quest Diagnostics Incorporated,DGX,0.053435,100.6,-1.12,(-1.10%)
352,353,Conagra Brands Inc.,CAG,0.053205,27.12,-0.47,(-1.69%)
353,354,NetApp Inc.,NTAP,0.053045,55.87,-0.5,(-0.89%)
354,355,Arista Networks Inc.,ANET,0.053008,246.65,0.38,(0.15%)
355,356,Citrix Systems Inc.,CTXS,0.052949,108.53,-0.29,(-0.27%)
356,357,Masco Corporation,MAS,0.052906,45.99,-0.23,(-0.50%)
357,358,Concho Resources Inc.,CXO,0.052775,66.3,-0.53,(-0.79%)
358,359,Tiffany & Co.,TIF,0.052533,124.33,0.44,(0.36%)
359,360,International Flavors & Fragrances Inc.,IFF,0.052084,121.41,-1.91,(-1.55%)
360,361,Symantec Corporation,SYMC,0.051709,22.82,-0.17,(-0.74%)
361,362,Atmos Energy Corporation,ATO,0.051646,111.97,-0.36,(-0.32%)
362,363,AmerisourceBergen Corporation,ABC,0.051633,85.02,-0.83,(-0.97%)
363,364,Gartner Inc.,IT,0.051517,152.96,6.29,(4.29%)
364,365,Cboe Global Markets Inc,CBOE,0.051342,115.22,-1.42,(-1.22%)
365,366,Hologic Inc.,HOLX,0.05099,48.15,-0.07,(-0.15%)
366,367,Jacobs Engineering Group Inc.,JEC,0.050829,94.25,-0.59,(-0.62%)
367,368,Loews Corporation,L,0.050608,48.4,-0.8,(-1.63%)
368,369,Duke Realty Corporation,DRE,0.050198,35.84,0.35,(0.99%)
369,370,Expeditors International of Washington Inc.,EXPD,0.050132,72.95,-1.06,(-1.43%)
370,371,Alliant Energy Corp,LNT,0.049222,53.02,0.07,(0.13%)
