symbol,symbol,name,lastsale,marketcap,ipoyear,sector,industry
ACRX,ACRX,"AcelRx Pharmaceuticals, Inc.",2.3,181500000.0,2011.0,Health Care,Major Pharmaceuticals
ACST,ACST,"Acasti Pharma, Inc.",2.27,183580000.0,,Health Care,Major Pharmaceuticals
ACT,ACT,AdvisorShares Vice ETF,24.49,13470000.0,,,
ACTG,ACTG,Acacia Research Corporation,2.92,146390000.0,,Miscellaneous,Multi-Sector Companies
ACTT,ACTT,Act II Global Acquisition Corp.,9.83,368630000.0,2019.0,Finance,Business Services
ACU,ACU,Acme United Corporation.,19.75,66200000.0,1988.0,Capital Goods,Industrial Machinery/Components
ACV,ACV,AllianzGI Diversified Income & Convertible Fund,23.38,241500000.0,2015.0,,
ACWI,ACWI,iShares MSCI ACWI Index Fund,72.51,10640000000.0,,,
ACWX,ACWX,iShares MSCI ACWI ex US Index Fund,44.99,3760000000.0,,,
ACY,ACY,AeroCentury Corp.,7.6,11750000.0,,Technology,Diversified Commercial Services
ADAP,ADAP,Adaptimmune Therapeutics plc,1.99,209200000.0,2015.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,ADBE,Adobe Inc.,297.78,144550000000.0,1986.0,Technology,Computer Software: Prepackaged Software
ADC,ADC,Agree Realty Corporation,70.57,2960000000.0,,Consumer Services,Real Estate Investment Trusts
ADES,ADES,"Advanced Emissions Solutions, Inc.",12.4,230370000.0,,Basic Industries,Major Chemicals
ADI,ADI,"Analog Devices, Inc.",112.28,41520000000.0,,Technology,Semiconductors
ADIL,ADIL,"Adial Pharmaceuticals, Inc",1.73,17690000.0,2018.0,Health Care,Major Pharmaceuticals
ADM,ADM,Archer-Daniels-Midland Company,38.3,21330000000.0,,Consumer Non-Durables,Packaged Foods
ADMA,ADMA,ADMA Biologics Inc,3.48,206430000.0,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADMP,ADMP,Adamis Pharmaceuticals Corporation,0.975,46450000.0,,Health Care,Major Pharmaceuticals
ADMS,ADMS,"Adamas Pharmaceuticals, Inc.",6.12,168500000.0,2014.0,Health Care,Major Pharmaceuticals
ADNT,ADNT,Adient plc,24.44,2290000000.0,2016.0,Capital Goods,Auto Parts:O.E.M.
ADOM,ADOM,"ADOMANI, Inc.",0.194,14140000.0,2017.0,Capital Goods,Auto Parts:O.E.M.
ADP,ADP,"Automatic Data Processing, Inc.",170.35,73970000000.0,,Technology,EDP Services
ADPT,ADPT,Adaptive Biotechnologies Corporation,39.76,4900000000.0,2019.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADRA,ADRA,Invesco BLDRS Asia 50 ADR Index Fund,29.31,17590000.0,,,
ADRD,ADRD,Invesco BLDRS Developed Markets 100 ADR Index Fund,20.7722,31160000.0,,,
ADRE,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,37.9689,125300000.0,,,
ADRO,ADRO,"Aduro Biotech, Inc.",1.38,110590000.0,2015.0,Health Care,Major Pharmaceuticals
ADRU,ADRU,Invesco BLDRS Europe Select ADR Index Fund,20.18,11100000.0,,,
ADS,ADS,Alliance Data Systems Corporation,155.28,8130000000.000001,2001.0,Miscellaneous,Business Services
ADSK,ADSK,"Autodesk, Inc.",152.145,33409999999.999996,,Technology,Computer Software: Prepackaged Software
ADSW,ADSW,"Advanced Disposal Services, Inc.",32.47,2890000000.0,2016.0,Public Utilities,Environmental Services
ADT,ADT,ADT Inc.,5.24,3970000000.0,2018.0,Consumer Services,Diversified Commercial Services
ADTN,ADTN,"ADTRAN, Inc.",11.21,535940000.00000006,1994.0,Public Utilities,Telecommunications Equipment
ADUS,ADUS,Addus HomeCare Corporation,81.44,1070000000.0,2009.0,Health Care,Medical/Nursing Services
ADVM,ADVM,"Adverum Biotechnologies, Inc.",12.32,785780000.0,2014.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADX,ADX,"Adams Diversified Equity Fund, Inc.",15.65,1650000000.0,,,
ADXS,ADXS,"Advaxis, Inc.",0.4788,8940000.0,,Health Care,Major Pharmaceuticals
AE,AE,"Adams Resources & Energy, Inc.",32.9,138770000.0,,Energy,Oil Refining/Marketing
AEB,AEB,Aegon NV,23.8357,,,Finance,Life Insurance
AEE,AEE,Ameren Corporation,76.32,18760000000.0,,Public Utilities,Power Generation
AEF,AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",6.9845,354480000.0,,,
AEGN,AEGN,Aegion Corp,19.58,604910000.0,,Basic Industries,Water Supply
AEHR,AEHR,Aehr Test Systems,1.39,31360000.0,1997.0,Capital Goods,Electrical Products
AEIS,AEIS,"Advanced Energy Industries, Inc.",50.3,1930000000.0,1995.0,Capital Goods,Industrial Machinery/Components
AEL,AEL,American Equity Investment Life Holding Company,23.13,2100000000.0,2003.0,Finance,Life Insurance
AEM,AEM,Agnico Eagle Mines Limited,59.4,14150000000.0,,Basic Industries,Precious Metals
AEMD,AEMD,"Aethlon Medical, Inc.",0.28,5350000.0,,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AEO,AEO,"American Eagle Outfitters, Inc.",16.75,2880000000.0,,Consumer Services,Clothing/Shoe/Accessory Stores
AEP,AEP,"American Electric Power Company, Inc.",89.51,44200000000.0,,Public Utilities,Electric Utilities: Central
AER,AER,Aercap Holdings N.V.,53.2,7270000000.0,2006.0,Technology,Diversified Commercial Services
AERI,AERI,"Aerie Pharmaceuticals, Inc.",22.92,1050000000.0,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AES,AES,The AES Corporation,15.85,10520000000.0,,Basic Industries,Electric Utilities: Central
AEY,AEY,"ADDvantage Technologies Group, Inc.",1.77,18340000.0,,Consumer Services,Office Equipment/Supplies/Services
AEYE,AEYE,"AudioEye, Inc.",6.01,46010000.0,,Technology,Computer Software: Prepackaged Software
AEZS,AEZS,AEterna Zentaris Inc.,2.51,41270000.0,,Health Care,Major Pharmaceuticals
AFB,AFB,Alliance National Municipal Income Fund Inc,13.73,394670000.0,2002.0,,
AFG,AFG,"American Financial Group, Inc.",103.27,9260000000.0,,Finance,Property-Casualty Insurers
AFH,AFH,"Atlas Financial Holdings, Inc.",0.3852,4600000.0,2013.0,Finance,Property-Casualty Insurers
AFI,AFI,"Armstrong Flooring, Inc.",7.91,205190000.0,2016.0,Consumer Non-Durables,Plastic Products
AFIN,AFIN,"American Finance Trust, Inc.",11.79,1250000000.0,,Consumer Services,Real Estate Investment Trusts
AFL,AFL,Aflac Incorporated,52.88,39150000000.0,,Finance,Accident &Health Insurance
AFMD,AFMD,Affimed N.V.,2.765,172620000.0,2014.0,Health Care,Major Pharmaceuticals
